"title","authors","year_published","type","total_citations","2020","2021","2022","2023","2024","2025","2026","matched_keywords","matched_go_words","source_syllabi"
"Rethinking Timber Buildings: Seven Perspectives on the Use of Timber in Building Design and Construction","ARUP","2019","report","1","1","0","0","0","0","0","0","","construction, building, timber, design","2020cprize-26"
"Rethinking Tradition—Another Look at the Essential Characteristics and Meanings of Ruen Thai","Piyalada Devekula Thaveeprungsriporn","2002","article","1","0","0","0","0","0","0","1","","","2026cprize-57"
"Rethinking Urban Metabolism: Water, Space, and the Modern City","Matthew Gandy","2004","article","1","1","0","0","0","0","0","0","","water, space, city, urban","2020cprize-25"
"Rethinking Value","Mariana Mazzucato","2019","other","1","0","1","0","0","0","0","0","","","2021cprize-44"
"Retreat: Moving to Higher Ground in a Climate-Changed City","Liz Koslov","","book","1","0","0","0","0","0","1","0","climate","climate, city","2025cprize-32"
"Retrofit and Decarbonization Framework","Architecture 2030","","report","1","0","0","0","0","0","0","1","","","2026cprize-42"
"Retrospective: Martin Rauch","Marko Sauer; Gabriela Carillo","2020","article","1","0","0","1","0","0","0","0","","","2022cprize-21"
"RETScreen","Government of Canada","2021","website","1","0","0","1","0","0","0","0","","","2022cprize-31"
"Return the National Parks to the Tribes","David Treuer","2021","article","1","0","0","0","1","0","0","0","","","2023cprize-31"
"Returns on Resilience: The Business Case","Urban Land Institute","2015","report","1","0","1","0","0","0","0","0","resilience","","2021cprize-01"
"Reusing Building Materials: A Practical Guide","R. Bull; A. Jaggar","2008","report","1","0","0","0","0","0","0","1","material","material, building","2026cprize-49"
"Reveal Submits Testimony to Congress","Reveal; Matt Glantz","","article","1","0","0","0","1","0","0","0","","","2023cprize-29"
"Revealing Architectural Design: Methods, Frameworks, and Tools","P. Plowright","2014","book","1","1","0","0","0","0","0","0","","design","2020cprize-04"
"Reversible Building Design","Elma Durmisevic","2019","chapter","1","0","0","0","0","0","0","1","","building, design","2026cprize-15"
"Reversing Obsolescence","Daniel Abramson","2016","chapter","1","1","0","0","0","0","0","0","","","2020cprize-46"
"Revision and improvement of the PTVA-3 model for assessing tsunami building vulnerability using “international expert judgment”: introducing the PTVA-4 model","F. Dall'Osso; D. Dominey-Howes; C. Tarbotton; S. Summerhayes; G. Withycombe","2016","article","1","0","0","0","0","0","0","1","","building, model, international","2026cprize-27"
"Revisiting Klima","James Rodger Fleming; Vladimir Jankovic","2011","article","1","0","0","0","1","0","0","0","","","2023cprize-14"
"Revolutionary Architecture","Barry Bergdoll","2000","chapter","1","1","0","0","0","0","0","0","","architecture","2020cprize-24"
"Rewiring Territories: The Future Production of Extraction Infrastructure","Neeraj Bhatia","2016","article","1","1","0","0","0","0","0","0","future, infrastructure","infrastructure, extraction, future","2020cprize-62"
"Rhizome: Introduction","Gilles Deleuze; Félix Guattari","","book","1","0","0","0","0","1","0","0","","","2024cprize-42"
"Richardson's Forecast Factory","Stephen Conlin","1986","other","1","0","0","0","0","1","0","0","","","2024cprize-15"
"Rights of Future Generations","Adrian Lahoud","2019","book","1","0","1","0","0","0","0","0","future","future","2021cprize-07"
"Ringside Seat to a Revolution: An Underground Cultural History of El Paso and Juárez: 1893-1923","David Dorado Romo","2014","book","1","0","0","0","1","0","0","0","","culture, history","2023cprize-16"
"Rising: Dispatches from A New American Shore","Elizabeth Rush","2018","book","1","1","0","0","0","0","0","0","","","2020cprize-36"
"Risk Society: Towards a New Modernity","Ulrich Beck","1992","book","1","0","0","0","0","0","1","0","society","social, risk","2025cprize-18"
"Risk: Excerpts from the Environmental Division of Labor","R. Martin","2016","chapter","1","0","1","0","0","0","0","0","environmental","risk, labor","2021cprize-63"
"Riverhoods: A Geographic City Model","García, Rubén","2026","book","1","0","0","0","0","0","0","1","","model, city","2026cprize-51"
"Rivers and Tides","Thomas Riedelsheimer","2001","film","1","0","0","1","0","0","0","0","","","2022cprize-02"
"Robert Smithson: The Collected Writings","Jack Flam","1996","book","1","0","0","1","0","0","0","0","","","2022cprize-28"
"Robotic concrete surface finishing: a moldless approach to creating thermally tuned surface geometry for architectural building components using fabrication techniques","J. Bard; D. Cupkova; N. Washburn; G. Zeglin","2018","article","1","0","1","0","0","0","0","0","","building, fabrication","2021cprize-14"
"Robotic Fabrication in Architecture, Art and Design","","2014","book","1","0","0","1","0","0","0","0","","fabrication, design, architecture","2022cprize-10"
"Robotic Life in the Deep Sea","Irus Braverman","2020","chapter","1","0","0","0","0","0","0","1","","sea","2026cprize-48"
"Robotic Perception","Paul Granjon","2006","other","1","0","0","1","0","0","0","0","","","2022cprize-28"
"Role of Trees in Mitigating Urban Heat Island in Charlotte, North Carolina, USA","J. Westerndorf","2020","article","1","0","0","1","0","0","0","0","","heat, urban","2022cprize-05"
"Roman Operating System (in Mutations and Content)","Patty Heyda; Rem Koolhaas; et al.","","chapter","1","0","0","0","1","0","0","0","systems","system","2023cprize-33"
"Roofing Design and Construction","Stephen Patterson; Madan Mehta","","book","1","0","1","0","0","0","0","0","","construction, design","2021cprize-19"
"Roofless Plaza, Al-Fawwar, Palestine","DAAR (Decolonizing Architecture Art Residency)","2008","other","1","1","0","0","0","0","0","0","","","2020cprize-60"
"Rorty on the Choice between Humility and Hubris","","2018","other","1","1","0","0","0","0","0","0","","","2020cprize-07"
"Roughness","David Leatherbarrow","2009","chapter","1","0","0","1","0","0","0","0","","","2022cprize-30"
"Round-Robin Critique: Three Elementary Schools","Stanley Sharp; Charles Burchard","","article","1","0","1","0","0","0","0","0","","","2021cprize-19"
"Routes of Power: Energy and Modern America","Christopher F. Jones","2014","book","1","1","0","0","0","0","0","0","energy","energy","2020cprize-34"
"Ruderal Ecologies: Rethinking Nature, Migration, and the Urban Landscape in Berlin","Bettina Stoetzer","2018","article","1","0","1","0","0","0","0","0","nature","landscape, ecological, migration, urban","2021cprize-60"
"Rule of Experts","Timothy Mitchell","2002","book","1","0","0","0","1","0","0","0","","","2023cprize-29"
"Rural & Urban House Types in North America","Steven Holl","1982","book","1","0","0","1","0","0","0","0","","house, urban, rural","2022cprize-20"
"Rural America in an Urban Society: Changing Spatial and Social Boundaries","D. T. Lichter; D. L. Brown","2011","article","1","0","0","1","0","0","0","0","society","social, space, urban, rural","2022cprize-06"
"Rural and Hyper-Connected: Here Is the Ecovillage of the Future","Giulia Ricci","2020","article","1","0","0","1","0","0","0","0","future","rural, future","2022cprize-24"
"Rural Design: A New Design Discipline","D. Thorbeck","2012","book","1","0","0","1","0","0","0","0","","rural, design","2022cprize-23"
"Rural Lines","David Nye","","chapter","1","0","1","0","0","0","0","0","","rural","2021cprize-02"
"Rural Studio: Samuel Mockbee and an Architecture of Decency","Andrea Oppenheimer Dean; Lawrence Chua; Cervin Robinson","2002","book","1","0","1","0","0","0","0","0","","rural, architecture","2021cprize-37"
"Ruskin: The Design of Nature and the Transcription of its Manuscript","John Dixon Hunt","1997","article","1","0","0","0","1","0","0","0","nature","design","2023cprize-17"
"S. 3875: Community Disaster Resilience Zones Act of 2022","","2022","report","1","0","0","0","0","0","1","0","community, resilience","disaster","2025cprize-28"
"Safer Homes, Stronger Communities: A Handbook for Reconstructing after Natural Disasters","Abhas Kumar Jha; Jennifer E. Duyne","2010","book","1","1","0","0","0","0","0","0","community, nature","natural","2020cprize-50"
"Salaam Bombay!","Mira Nair","1988","other","1","0","0","0","0","0","0","1","","","2026cprize-31"
"Salmon and Acorns Feed Our People: Colonialism, Nature, and Social Action","Kari Marie Norgaard","2019","book","1","0","1","0","0","0","0","0","nature","social","2021cprize-17"
"Salty Urbanism: A Design Manual for Coastal Zones","Jeffrey Huber","2024","book","1","0","0","0","0","0","1","0","","coast, design","2025cprize-16"
"Salvation Mountain","Leonard Knight","1984","other","1","0","0","1","0","0","0","0","","","2022cprize-28"
"San Rocco 10: Ecology","","2014","article","1","0","0","0","0","1","0","0","ecological","ecological","2024cprize-31"
"Sand County Almanac","A. Leopold","1970","book","1","0","0","0","0","1","0","0","","","2024cprize-41"
"Sandbox: An Architectural History of Play","Tamar Zinguer","","other","1","0","0","0","0","0","0","1","","history","2026cprize-59"
"Sans Soleil","Chris Marker","1983","other","1","0","0","0","0","0","0","1","","","2026cprize-30"
"Satan's Work and Silted Cisterns","John Updike","1988","article","1","1","0","0","0","0","0","0","","","2020cprize-17"
"Scale as Problem","Adrian Lahoud","","article","1","0","0","0","0","1","0","0","","","2024cprize-15"
"Scale: The Universal Laws of Life, Growth and Death in Organisms, Cities and Companies","Geoffrey West","2017","book","1","1","0","0","0","0","0","0","","growth","2020cprize-45"
"Scaling up from gardens: biodiversity conservation in urban environments","M. A. Goddard; A. J. Dougill; T. G. Benton","2010","article","1","0","0","0","1","0","0","0","","urban","2023cprize-21"
"Scarcity and Creativity in the Built Environment","Goodbun","","book","1","0","0","0","0","0","1","0","environmental","","2025cprize-15"
"Scarcity contra austerity","J. Till","2012","article","1","0","0","0","0","0","1","0","","","2025cprize-15"
"Scarcity: A history from the origins of capitalism to the climate crisis","F. A. Jonsson; C. Wennerlind","2023","book","1","0","0","0","0","0","1","0","climate","capitalism, climate, history, crisis","2025cprize-15"
"Scenes in America Deserta","Reyner Banham","1989","book","1","1","0","0","0","0","0","0","","","2020cprize-62"
"Science and Colonial Expansion: The Role of the British Royal Botanic Garden","Lucile Brockway","2002","book","1","0","1","0","0","0","0","0","science","science, colonial","2021cprize-47"
"Science Illustration: A History of Visualized Knowledge","B. J. Ford","1992","book","1","0","0","0","0","0","0","1","science","science, knowledge, history","2026cprize-24"
"Scorched Earth: Beyond the Digital Age to a Post-Capitalist World","Jonathan Crary","2022","book","1","0","0","0","0","1","0","0","world","capitalism, digital, world, earth","2024cprize-31"
"Seamless: Digital Collage and Dirty Realism in Contemporary Architecture","Jesus Vassallo","","book","1","0","1","0","0","0","0","0","","digital, architecture","2021cprize-08"
"Second Growth: The Promise of Tropical Forest Regeneration in an Age of Deforestation","Robin Chazdon","","book","1","0","0","0","0","0","0","1","","growth","2026cprize-34"
"Second Unit Resources Center: San Mateo County","","","website","1","0","1","0","0","0","0","0","resource","resource","2021cprize-33"
"Section: United Arab Emirates: Urban Landscape and Modern Heritage","","2019","article","1","0","0","0","0","0","0","1","","landscape, section, urban","2026cprize-51"
"Securing the Majority: Living through Uncertainty in Jakarta","AbdouMaliq Simone; Vyjayanthi Rao","2012","article","1","1","0","0","0","0","0","0","","","2020cprize-58"
"Security, Territory, Population: Lectures at the Collège de France, 1977-78","Michel Foucault","2009","book","1","0","1","0","0","0","0","0","","territory","2021cprize-18"
"See Yourself Sensing / Face Nature","Madeline Schwartzman","2020","book","1","0","0","1","0","0","0","0","nature","","2022cprize-28"
"See Yourself Sensing: Redefining Human Perception","Madeline Schwartzman","2011","book","1","0","1","0","0","0","0","0","human","human","2021cprize-61"
"Seeing Beyond the Trees and the Forest","Adrian Bejan","","chapter","1","1","0","0","0","0","0","0","","","2020cprize-63"
"Seeing Like an Oil Company: Space, Security, and Global Capital in Neoliberal Africa","James Ferguson","2005","article","1","0","1","0","0","0","0","0","global","global, space, oil","2021cprize-17"
"Seeing Planetary Change, Down to the Smallest Wildflower","Deborah R. Coen","","article","1","0","0","0","0","1","0","0","change","planet, change","2024cprize-15"
"Seeing the Forests for the Mass Timber","Jason Grant","2017","chapter","1","0","0","1","0","0","0","0","","timber","2022cprize-21"
"Seeing Trees: A History of Street Trees in New York City and Berlin","Sonja Dümpelmann","2019","book","1","0","0","1","0","0","0","0","","history, city","2022cprize-30"
"Seeking Refuge? The Potential of Urban Climate Shelters to Address Intersecting Vulnerabilities","Amorim-Maia","","article","1","0","0","0","0","1","0","0","climate","climate, urban","2024cprize-24"
"Selected Discography & Liner Notes","Miguel Zenón","","other","1","0","0","0","0","0","0","1","","","2026cprize-35"
"Selected Essays of Wilson Harris: The Unfinished Genesis of the Imagination","Wilson Harris","1999","book","1","1","0","0","0","0","0","0","","","2020cprize-61"
"Selected essays on extractivism and socio-environmental conflict","Eduardo Gudynas","","other","1","0","0","0","0","0","0","1","environmental","","2026cprize-51"
"Selected Poems","Derek Walcott","2007","book","1","1","0","0","0","0","0","0","","","2020cprize-61"
"Selected Works and Lectures","Vo Trong Nghia Architects","","other","1","0","0","0","0","0","0","1","","","2026cprize-06"
"Seminal Space: Getting under the Digital Skin","Alicia Imperiale","2006","chapter","1","1","0","0","0","0","0","0","","digital, space","2020cprize-49"
"Sense of place, fast and slow: The potential contributions of affordance theory to sense of place","C. M. Raymond; M. Kytta; R. Stedman","2017","article","1","0","0","0","0","0","1","0","","theory, place","2025cprize-25"
"Sensing the 21st Century City","Brian McGrath","2007","book","1","1","0","0","0","0","0","0","","city","2020cprize-58"
"Sensory Design","Joy Monice Malnar","2004","book","1","0","0","0","0","1","0","0","","design","2024cprize-42"
"Sensory Processing Spectrum","Johnson, Vincente","2025","other","1","0","0","0","0","0","0","1","","","2026cprize-63"
"SENTIENT CONCRETE: Developing Embedded Thermal and Thermochromic Interactions for Architecture and Built Environment","Dana Cupkova; Daragh Byrne; Dan Cascaval","2018","other","1","0","1","0","0","0","0","0","environmental","architecture","2021cprize-14"
"Sentimental Monumentality","Fabrizio Barozzi","2020","website","1","0","1","0","0","0","0","0","","","2021cprize-09"
"Senyai: Vaulted Acoustics","Dana Cupkova; Gretchen Craig","2018","other","1","0","1","0","0","0","0","0","","","2021cprize-14"
"Service Light-Wells, a Reality or a Myth? An Evaluation of Performance as Prescribed by the Egyptian Building Code","Mansy; Sabry; El-Deeb; Fikry","2011","article","1","0","1","0","0","0","0","0","","building, performance","2021cprize-36"
"Setting the Baseline for Energy Efficiency in Buildings","Mansy","2011","article","1","0","1","0","0","0","0","0","energy","energy","2021cprize-36"
"Settler Atmospherics","Kristen Simmons","2017","article","1","0","0","0","1","0","0","0","","","2023cprize-14"
"Seven Partly Underground Rooms and Buildings for Water, Ice, and Midgets","Mary-Ann Ray","1997","chapter","1","0","0","1","0","0","0","0","","water","2022cprize-28"
"Seventeen Contradictions and the End of Capitalism","David Harvey","2014","book","1","1","0","0","0","0","0","0","","capitalism","2020cprize-34"
"Severe Weather 101","National Severe Storms Laboratory (NSSL)","","website","1","0","0","0","0","0","0","1","","weather","2026cprize-59"
"Sex and the So-Called City","","2018","other","1","1","0","0","0","0","0","0","","city","2020cprize-02"
"Shading Design for Outdoor Learning in Warm and Humid Climates Using Evolutionary Computation: A Case Study in Houston, TX","M. Kyropoulou","2022","other","1","0","0","0","1","0","0","0","","design, computation","2023cprize-28"
"Shaping behaviours through space and place in gamified virtual learning environments","D. Zahang; T. Clear","2015","chapter","1","0","0","0","0","0","1","0","","virtual, space, place","2025cprize-25"
"Shaping Cities in an Urban Age","R. Burdett; Philipp Rode","2018","book","1","0","0","0","0","0","1","0","","urban","2025cprize-12"
"Sharing in the Benefits of a Greening City: A Policy Toolkit to Address the Intersections of Housing and Environmental Justice","M. Klein; B.L. Keeler; K. Derickson; K. Swift; F. Jacobs; H. Waters; R. Walker","2020","report","1","0","0","1","0","0","0","0","environmental, justice","house, justice, city","2022cprize-29"
"Sharjah: Seascape Urbanism, in a Khaliji Port City","Samia Rab","2011","chapter","1","1","0","0","0","0","0","0","","city","2020cprize-17"
"Shell Structures for Architecture: Form Finding and Optimization","S. Adriaenssens; P. Block; D. Veenendaal; C. Williams","2014","book","1","0","0","0","0","0","1","0","","optimization, architecture","2025cprize-13"
"Shelter Design Catalogue","UNHCR","2016","report","1","0","1","0","0","0","0","0","","design","2021cprize-26"
"Shifting Site","Kristina Hill","2005","chapter","1","0","0","1","0","0","0","0","","site","2022cprize-29"
"Shigeru Ban, Humanitarian Architecture","Heidi Zuckerman Jacobson; Claude Bruderlein","","book","1","0","1","0","0","0","0","0","","architecture","2021cprize-26"
"Shigeru Ban: Paper in Architecture","Shigeru Ban","","book","1","1","0","0","0","0","0","0","","architecture","2020cprize-33"
"Ship Breaker","Paolo Bacigalupi","2010","book","1","0","1","0","0","0","0","0","","","2021cprize-56"
"Shouting Apocalypse (in Architecture or Techno-utopia: Politics After Modernism)","Felicity D. Scott","2010","chapter","1","0","0","0","1","0","0","0","","architecture","2023cprize-14"
"Show Me a Hero – Justice Trailer","HBO","2015","website","1","0","1","0","0","0","0","0","justice","justice","2021cprize-09"
"Shrinking Cities and Towns: Challenges and Responses","A. Luescher; S. Shetty","2013","article","1","0","0","1","0","0","0","0","","","2022cprize-05"
"Sick Building Syndrome","Thomas Kelly","","article","1","0","0","0","0","0","0","1","","building","2026cprize-15"
"Sidewalk Labs","","","website","1","1","0","0","0","0","0","0","","","2020cprize-66"
"Silent Collaborators: On Authorship in Architecture","K. Jones; Z. Garcia-Requejo","2023","other","1","0","0","0","0","0","1","0","","architecture","2025cprize-14"
"Sim[PLY]: Achieving Carbon Neutrality Through Innovative Building Assemblies and Processes","D. Albright; V. Blouin; D. Harding; U. Ersoy","2016","article","1","0","0","0","0","0","0","1","carbon","building, carbon","2026cprize-60"
"Sim[PLY]: Enabling Sustainable Human-Centered Construction Through Prefabricated Plywood Components","","2016","article","1","0","0","0","0","0","0","1","sustainable, human","construction, human, sustainability","2026cprize-60"
"Simulacra and Simulation","Jean Baudrillard","1994","book","1","1","0","0","0","0","0","0","","","2020cprize-51"
"Simulations of indoor moisture generation in US homes","S. Pallin; P. Boudreaux; S.J. Jo; M. Perez; A. Albaugh","2017","chapter","1","0","1","0","0","0","0","0","","","2021cprize-62"
"Singing to the Forest (from Confessions of a Recovering Environmentalist)","Paul Kingsnorth","","chapter","1","1","0","0","0","0","0","0","","","2020cprize-41"
"Site Design for Multifamily Housing","Nico Larco; et al.","2014","book","1","0","0","0","0","0","1","0","","site, house, design","2025cprize-12"
"Site Planning: International Practice","G. Hack","2018","book","1","0","1","0","0","0","0","0","","site, international","2021cprize-45"
"Site-Seeing: The Cine City","Giuliana Bruno","2002","chapter","1","0","0","0","0","1","0","0","","site, city","2024cprize-05"
"Situated Computations","Vernelle Noel","","other","1","0","0","0","0","0","0","1","","","2026cprize-35"
"Situated Knowledges","Donna Haraway","1988","article","1","1","0","0","0","0","0","0","","","2020cprize-62"
"Situated Learning: Legitimate Peripheral Participation","J. Lave; E. Wenger","1991","book","1","0","1","0","0","0","0","0","","","2021cprize-21"
"Situating Meanings of Sustainability Within the Architectural Discourse","Meredith Sattler","2015","chapter","1","0","1","0","0","0","0","0","sustainable","sustainability","2021cprize-47"
"Six Classes","GPI","","other","1","1","0","0","0","0","0","0","","","2020cprize-33"
"Six Myths about Electronic Waste in Agbogbloshie, Ghana","Maja van der Velden; Martin Oteng-Ababio","2019","website","1","0","0","0","1","0","0","0","","waste","2023cprize-03"
"Skin, Clothing, and Dwelling: Max von Pettenkofer, the Science of Hygiene, and Breathing Walls","Didem Ekici","2016","article","1","0","0","0","1","0","0","0","science","science","2023cprize-14"
"Skybridges: State of the Art","A. Wood; P. Du; D. Safarik","2020","article","1","0","0","0","1","0","0","0","","","2023cprize-35"
"Slanted Memorial","J. Song","2020","article","1","0","0","0","1","0","0","0","","","2023cprize-19"
"Slave City","Joep Van Lieshout","2008","other","1","0","0","1","0","0","0","0","","city","2022cprize-28"
"Slow Food","","","website","1","1","0","0","0","0","0","0","","food","2020cprize-12"
"Slow Violence, Neoliberalism, and the Environmental Picaresque","Rob Nixon","2011","chapter","1","0","0","0","0","1","0","0","environmental","","2024cprize-02"
"Slumdog Millionaire","Danny Boyle","2008","other","1","0","0","0","0","0","0","1","","","2026cprize-31"
"Small Eco-Houses","","2010","book","1","0","0","0","0","0","0","1","","","2026cprize-24"
"Small is Beautiful","E.F. Schumacher","","book","1","0","1","0","0","0","0","0","","","2021cprize-12"
"Small Scale, Big Change: New Architectures of Social Engagement","Andres Lepik","2010","book","1","0","1","0","0","0","0","0","change","social, change","2021cprize-37"
"Smart and Sustainable Cities and Buildings","Rob Roggema; Anouk Roggema","2020","book","1","0","0","1","0","0","0","0","sustainable","sustainability","2022cprize-25"
"Smart Cities Publications","Arup","","website","1","0","0","0","0","0","1","0","","","2025cprize-08"
"Smart Materials in Architecture, Interior Architecture and Design","Axel Ritter","2007","book","1","0","1","0","0","0","0","0","material","material, interior, design, architecture","2021cprize-26"
"Smart Policies for a Changing Climate: The Report and Recommendations of the ASLA Blue Ribbon Panel on Climate Change and Resilience","ASLA","2017","report","1","0","0","0","1","0","0","0","climate, change, resilience","climate, change","2023cprize-20"
"Smog Journeys","Jia Zhangke","2015","other","1","0","0","0","1","0","0","0","","","2023cprize-14"
"Smog over Baoding, China","Didem Ekici","2018","other","1","0","0","0","1","0","0","0","","","2023cprize-14"
"Smoke emits from the James H. Miller Jr. Electrical Generating Plant","Lee Hedgepeth","2023","other","1","0","0","0","0","0","1","0","","","2025cprize-04"
"Snap-Interlock Module System: Exploring an Alternative Architectural Construction Method","J. Song; D. Vrana; J. Shim","2021","article","1","0","0","0","1","0","0","0","systems","construction, system","2023cprize-19"
"Snapping Facade: Exploring elastic instability for building envelopes","J. Song; S. Heo; J. Shim","2018","article","1","0","0","0","1","0","0","0","","building","2023cprize-19"
"Snowpiercer","Bong Joon-ho","2013","other","1","0","1","0","0","0","0","0","","","2021cprize-56"
"Sobre el estilo en arquitectura","Jose Ortega y Gasset","2006","chapter","1","0","1","0","0","0","0","0","","","2021cprize-03"
"Social and environmental determinants of heat vulnerability in cities","S.L. Harlan; et al.","2023","article","1","0","0","0","0","0","0","1","environmental","social, heat","2026cprize-02"
"Social Infrastructure: New York","Douglas Durst; Bjarke Ingels","2015","book","1","0","0","0","0","0","1","0","infrastructure","infrastructure, social","2025cprize-26"
"Social Justice and the City","D. Harvey","","book","1","0","1","0","0","0","0","0","justice","social, justice, city","2021cprize-12"
"Social Life Cycle Assessment in the construction sector: current work and directions for future research","Barbero; Iriini; Rezgui; et al.","2024","article","1","0","0","0","0","0","1","0","future, current","construction, social, research, future","2025cprize-11"
"Social life cycle assessment of adaptive reuse","Rebecka Lundgren","2023","article","1","0","0","0","0","0","1","0","","social, adaptive, reuse","2025cprize-11"
"Social Scorecard: A Comprehensive Social Health Analysis Tool","E. Stach; S. Koch","2022","other","1","0","0","0","0","0","1","0","health","social, tool","2025cprize-08"
"Social Works: Sir David Adjaye OBE","Gagosian","2021","article","1","0","0","1","0","0","0","0","","social","2022cprize-21"
"Socialising Tourism: Reimagining Tourism's Purpose (in Socialising Tourism: Rethinking Tourism for Social and Ecological Justice)","Freya Higgins-Desbiolles; Adam Doering; Bobbie Chew Bigby","2021","chapter","1","0","0","0","1","0","0","0","justice, ecological","social, ecological, justice","2023cprize-15"
"Society and Culture: Hardware and Software of Our Social World","Jeanne Ballantine","2017","chapter","1","0","0","1","0","0","0","0","society, world","social, world, culture","2022cprize-19"
"Society Must Be Defended: Lectures at the Collège de France 1975-76","Michel Foucault","2003","book","1","0","1","0","0","0","0","0","society","social","2021cprize-60"
"Society of the Spectacle","Guy Debord","1983","book","1","1","0","0","0","0","0","0","society","social","2020cprize-51"
"Socio-spatial Patterns of Acculturation: Examining Hmong Habitation in Milwaukee's North-side Neighborhoods","Lynne M. Dearborn","2008","article","1","0","0","0","1","0","0","0","","space","2023cprize-26"
"Sociology and the Theory of Double Consciousness: W. E. B. Du Bois's Phenomenology of Racialized Subjectivity","José Itzigsohn; Karida Brown","2015","article","1","0","0","1","0","0","0","0","","theory","2022cprize-19"
"Sociopolis: Project for a City of the Future","Vicente Guallart","2004","book","1","0","1","0","0","0","0","0","future","city, future","2021cprize-15"
"Soft Boundaries: The Emergence of Material Energies","Maged Guerguis","2017","book","1","0","1","0","0","0","0","0","material","energy, material","2021cprize-37"
"Soft Living Architecture","R. Armstrong","2018","book","1","0","0","0","1","0","0","0","","architecture","2023cprize-07"
"Softspace: From a Representation of Form to a Simulation of Space","Sean Lally; Jessica Young","2014","book","1","0","0","0","0","0","0","1","","representation, space","2026cprize-66"
"Softwall","Molo","2003","other","1","1","0","0","0","0","0","0","","","2020cprize-33"
"Software, Infrastructure, Labor: A Media Theory of Logistical Nightmares","Ned Rossiter","2016","book","1","1","0","0","0","0","0","0","infrastructure","infrastructure, media, labor, theory","2020cprize-02"
"Soil Carbon and Carbon/Nitrogen Ratio Change under Tree Canopy, Tall Grass, and Turf Grass Areas of Urban Green Space","S. J. Livesley; A. Ossola; C. G. Threlfall; A. K. Hahs; N. S. G. Williams","2016","article","1","0","0","0","1","0","0","0","change, carbon","space, change, urban, carbon","2023cprize-21"
"Sola Gratia Farm","","","website","1","0","0","0","0","1","0","0","","","2024cprize-11"
"Solar Decathlon Educational Resources","U.S. Department of Energy","","website","1","0","0","0","0","0","0","1","resource","resource","2026cprize-42"
"Solar Enclosure for Water Reuse (SEWR) / Active Modular Phytoremediation System (AMPS)","Anna Dyson","","other","1","1","0","0","0","0","0","0","systems","water, reuse, system","2020cprize-49"
"Solar Geometry","Pablo La Roche","2017","chapter","1","0","0","1","0","0","0","0","","","2022cprize-07"
"Soleri: Architecture as Human Ecology","Antonietta Iolanda Lima","2003","book","1","0","0","1","0","0","0","0","human, ecological","human, ecological, architecture","2022cprize-24"
"Solid Wood: Case Studies in Mass Timber Architecture, Technology and Design","Joseph Mayo","2015","book","1","1","0","0","0","0","0","0","","technology, timber, design, architecture","2020cprize-26"
"Solidarity Economy: Building Alternatives for People and Planet","Carl Davidson","2008","book","1","0","0","0","0","1","0","0","economic","economy, building, planet","2024cprize-09"
"Solidarity Gardens","","","website","1","0","0","0","0","1","0","0","","","2024cprize-11"
"Solution Sets for Net Zero Energy Buildings: Feedback from 30 Buildings Worldwide","F. Garde; J. Ayoub; L. Aelenei; D. Aelenei; A. Scognamiglio (eds.)","2017","book","1","1","0","0","0","0","0","0","energy","energy","2020cprize-19"
"Solving Baltimore's Vacant Lot Problem, One Wildflower Meadow at a Time","Baltimore Fishbowl","2017","article","1","0","0","1","0","0","0","0","","","2022cprize-13"
"Some of This, Some of That (lecture)","Alison Von Glinow; Lap Chi Kwong","2022","other","1","0","0","0","0","0","0","1","","","2026cprize-15"
"Some Problems with Scale / Working the Edge","Anna Lowenhaupt Tsing","2015","chapter","1","0","0","0","1","0","0","0","","","2023cprize-04"
"Something New Under the Sun: An Environmental History of the Twentieth Century","John McNeill","2000","book","1","1","0","0","0","0","0","0","environmental","history","2020cprize-05"
"Something Vague","Michelle Chang","2018","article","1","1","0","0","0","0","0","0","","","2020cprize-28"
"Song of the Dodo","D. Quammen","1997","book","1","0","0","0","0","1","0","0","","","2024cprize-41"
"SOS: A call for coastal security","","","book","1","1","0","0","0","0","0","0","","coast","2020cprize-48"
"Sources of Geothermal Heat: The Earth as Heat Engine (in Geothermal Energy: Renewable Energy and the Environment)","William E. Glassley","2010","chapter","1","0","0","0","1","0","0","0","environmental, energy","energy, earth, heat","2023cprize-17"
"South Carolina Coastal Resilience Reports","South Carolina Department of Natural Resources","2022","report","1","0","0","0","0","0","0","1","resilience","coast","2026cprize-60"
"Southeast Florida Regional Climate Change Compact","","","website","1","1","0","0","0","0","0","0","climate, change","climate, change","2020cprize-18"
"Southern Crossing: A History of the American South, 1877-1906","Edward L. Ayers","1995","book","1","0","1","0","0","0","0","0","","history","2021cprize-38"
"Southern Reach Trilogy","Jeff Vandermeer","","book","1","0","0","0","0","1","0","0","","","2024cprize-01"
"Sovereignty Matters: Locations of Contestation and Possibility in Indigenous Struggles for Self-Determination","Joanne Barker (ed.)","2005","book","1","1","0","0","0","0","0","0","","indigenous","2020cprize-14"
"Sowing Worlds: A Seed Bag for Terraforming with Earth Others","Donna Haraway","2013","chapter","1","1","0","0","0","0","0","0","","earth","2020cprize-21"
"Space allocations, programming strategies and layouts that stretch STEM facility dollars","Michael Lauber","2015","other","1","0","0","0","1","0","0","0","","space","2023cprize-40"
"Space and the city","","2015","article","1","0","0","0","0","0","1","0","","space, city","2025cprize-15"
