"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"The Eccentricity of the Middle East and North Africa's Environmental History","J.R. McNeill","2013","chapter","","","","","Water on Sand: Environmental Histories of the Middle East and North Africa","","1","1","0","0","0","0","0","0","2020cprize-17"
"The Ecological Rift: Capitalism's War on the Earth","John Bellamy Foster; Brett Clark; Richard York","2010","chapter","Environmental degradation; Capitalism; Climatic changes; Environment and ecology; Life Sciences","","NYU Press","","","9781583673898","1","0","1","0","0","0","0","0","2021cprize-54"
"The Ecologies of the Building Envelope","Alejandro Zaera-Polo; Jeffrey S. Anderson","2021","book","Architecture","","Actar","","","9781638409489","1","0","0","0","1","0","0","0","2023cprize-14"
"The Ecology of Building Materials","Bjorn Berge","2009","book","Building materials; Environmental aspects; TECHNOLOGY & ENGINEERING; Construction; General","","Elsevier/Architectural Press","","","9780080949741","1","0","1","0","0","0","0","0","2021cprize-30"
"The Ecology of Others","P. Descola","2013","book","","","University of Chicago Press","","","","1","0","0","0","1","0","0","0","2023cprize-31"
"The Ecology of the Automobile","Peter Freund; George Martin","1993","book","Social aspects of Automobiles; Social aspects; Environmental aspects; Automobiles; Environmental aspects of Automobiles","","","","","9781895431834","1","0","0","0","0","0","0","1","2026cprize-46"
"The Economics of Climate Change","Nicholas Stern","2014","book","Climatic changes; Environmental policy; Economic aspects; Government policy; Climat","""There is now clear scientific evidence that emissions from economic activity, particularly the burning of fossil fuels for energy, are causing changes to the Earth's climate. A sound understanding of the economics of climate change is needed in order to underpin an effective global response to this challenge. The Stern Review is an independent, rigourous and comprehensive analysis of the economic","Cambridge University Press","","","9780521700801","1","0","1","0","0","0","0","0","2021cprize-57"
"The Economics of Maps","Abhishek Nagaraj; Scott Stern","2020","article","","","","","","","1","0","0","0","1","0","0","0","2023cprize-29"
"The Economy of Puerto Rico: Restoring Growth","Susan M. Collins (ed.)","2006","book","","","The Brookings Institution Press","","","","1","0","0","0","1","0","0","0","2023cprize-34"
"The Ecotourism Experience (in Romancing the Wild: Cultural Dimensions of Ecotourism)","Robert Fletcher","2014","chapter","","","Duke University Press","","","","1","0","0","0","1","0","0","0","2023cprize-15"
"The Edinburgh 2050 City Vision","","","website","","","","","","","1","0","0","1","0","0","0","0","2022cprize-08"
"The Embodiment of Architectural Experience: A Methodological Perspective on Neuro-Architecture","Shuo Wang; Gustavo Sanches de Oliveira; Zohreh Djebbara; Klaus Gramann","2022","article","","","","Frontiers in Human Neuroscience","","","1","0","0","0","0","0","0","1","2026cprize-43"
"The End of Nature","Bill McKibben","1989","book","Atmospheric Greenhouse effect; Effect of human beings on; Environmental protection; Human beings; Influence on nature","""First published in 1989 in seventeen languages on six continents, The End of Nature has changed the way many people view the planet. Now, in a special tenth anniversary edition, the author presents a new introduction for this classic work on our environmental crisis reviewing the progress made and ground lost in the fight to save the earth."". ""An impassioned plea for radical and life-renewing","Random House","","","9780844671291","1","1","0","0","0","0","0","0","2020cprize-44"
"The End of Us: To Imagine Our Own Extinction Is to Be Able to Answer It","Thomas Moynihan","","article","","","","","","","1","0","0","0","1","0","0","0","2023cprize-03"
"The Ends of the World","Déborah Danowski; Eduardo Viveiros de Castro","2016","book","Fear; Philosophy; Metaphysics; End of the world; Metaphysical society (london, england)","""The end of the world is a seemingly interminable topic; at least, of course, until it happens. Environmental catastrophe and planetary apocalypse are subjects of enduring fascination and, as ethnographic studies show, human cultures have approached them in very different ways. Indeed, in the face of the growing perception of the dire effects of global warming, some of these visions have been give","Polity Press","","","9781509503988","1","0","0","0","1","0","0","0","2023cprize-12"
"The Environmental Apocalypse: Interdisciplinary Reflections on the Climate Crisis","J. Kowalewski","2022","book","","","Routledge","","","","1","0","0","0","1","0","0","0","2023cprize-12"
"The Environmental Crisis of Our Time and the Ethics of Stewardship: A Muslim Response","Yasin Dutton","2022","chapter","","","Springer International Publishing","","Religion and Sustainability: Interreligious Resources, Interdisciplinary Responses","","1","0","0","0","0","1","0","0","2024cprize-13"
"The Environmental Imagination","Dean Hawkes","","book","Architecture; Buildings; Environmental aspects; Environmental aspects of Architecture; Environmental engineering","","","","","9780415360876","1","0","1","0","0","0","0","0","2021cprize-26"
"The Environmental Impact of Suburbanization","M. E. Kahn","2000","article","","","","Journal of Policy Analysis and Management","","","1","0","0","0","1","0","0","0","2023cprize-21"
"The Equipmental Tradition: Architecture's Environmental Pedagogies (in Environmental Histories of Architecture)","Kiel Moe","","chapter","","","Canadian Center for Architecture","","","","1","0","0","0","0","1","0","0","2024cprize-40"
"The Essential Whole Earth Catalog: Access to Tools and Ideas","Stewart Brand (ed.)","1986","book","","","Doubleday","","","","1","1","0","0","0","0","0","0","2020cprize-16"
"The Ethical Architect: The Dilemma of Practice","","2001","book","","","Princeton Architectural Press","","","","1","1","0","0","0","0","0","0","2020cprize-07"
"The Ethical Space of Engagement","W. Ermine","2007","article","","","","Indigenous Law Journal","","","1","0","1","0","0","0","0","0","2021cprize-21"
"The EU Will Be Democratised. Or It Will Disintegrate!: A Manifesto for Democratising Europe","Democracy in Europe Movement 2025","2016","website","","","","","","","1","0","1","0","0","0","0","0","2021cprize-17"
"The Evolution of Energy Demand Revisited: Politics, Daily Life and Public Housing in Britain, 1920s-70s","Frank Trentmann","","article","","","","","","","1","0","1","0","0","0","0","0","2021cprize-02"
"The Evolving Relationship Between Architectural Practice and Education—1980s to 2020s: A Review","","2025","article","","","","Journal of Architecture and Urbanism","","","1","0","0","0","0","0","0","1","2026cprize-38"
"The Expanded Environment","","","website","","","","","","","1","0","0","0","0","1","0","0","2024cprize-01"
"The Experience of Place","T. Hiss","1991","book","","","","","","","1","0","0","0","0","1","0","0","2024cprize-41"
"The Expert Mind in the Age of Junk Data","Christopher L. Cosper","2016","article","","","","Cogent Social Sciences","","","1","0","0","0","1","0","0","0","2023cprize-10"
"The Extended Case Method","Michael Burawoy","1998","article","","","","Sociological Theory","","","1","0","1","0","0","0","0","0","2021cprize-33"
"The Extractive Zone: Social Ecologies and Decolonial Perspectives","Macarena Gómez-Barris","2017","book","","","Duke University Press","","","","1","1","0","0","0","0","0","0","2020cprize-14"
"The Extreme 2018 Northern California Fire Season","Timothy Brown; et al.","2020","article","","","","Explaining Extreme Events from a Climate Perspective (American Meteorological Society)","","","1","0","1","0","0","0","0","0","2021cprize-29"
"The Eyes of the Skin, 3rd Edition","Juhani Pallasmaa","2012","book","","","Wiley","","","","1","0","0","0","0","0","0","1","2026cprize-63"
"The Fabric of Space: Water, Modernity, and the Urban Imagination","Matthew Gandy","","book","","","MIT Press","","","","1","1","0","0","0","0","0","0","2020cprize-42"
"The Fallacy of Misplaced Concreteness","A. N. Whitehead","1997","chapter","","","","","Science and the Modern World","","1","1","0","0","0","0","0","0","2020cprize-09"
"The Fast Runner (Atanarjuat)","Zacharias Kunuk","2001","film","","","","","","","1","0","0","1","0","0","0","0","2022cprize-02"
"The Façade of Redevelopment","Patty Heyda","","article","","","","MWMS Common Reader","","","1","0","0","0","1","0","0","0","2023cprize-33"
"The Federal Government and Housing During the Great Depression","John F. Bauman; Roger Biles; Kristin M. Szylvian","","chapter","","","The Pennsylvania State University Press","","From Tenements to the Taylor Homes: In Search of an Urban Housing Policy in Twentieth-Century America","","1","0","1","0","0","0","0","0","2021cprize-02"
"The Feminist Standpoint Theory Reader: Intellectual and Political Controversies","Sandra Harding","2004","book","","","","","","","1","0","1","0","0","0","0","0","2021cprize-47"
"The Fifth Sacred Thing","Starhawk","","book","Fiction; Utopias; LGBTQ science fiction & fantasy; Lambda Literary Awards; Lambda Literary Award Winner","A world without poverty or hunger that honors the Four Sacred Things that sustain life--earth, air, fire, and water--is poised to clash with a nightmare society of authoritarian regimes and food and water shortages","","","","9780553095227","1","0","0","0","0","1","0","0","2024cprize-32"
"The Fifth Season","N. K. Jemisin","2016","book","LGBTQ novels; LGBTQ science fiction & fantasy; Fiction, fantasy, epic; Mothers and daughters, fiction; Fiction, dystopian","**A SEASON OF ENDINGS HAS BEGUN.** IT STARTS WITH THE GREAT RED RIFT across the heart of the world's sole continent, spewing ash that blots out the sun. IT STARTS WITH DEATH, with a murdered son and a missing daughter. IT STARTS WITH BETRAYAL and long-dormant wounds rising up to fester. This is the Stillness, a land familiar with catastrophe, where the power of the earth is wielded as","Orbit","","","9780316229296","1","0","0","0","1","0","0","0","2023cprize-12"
"The Fight for Climate Justice Requires a New Narrative","M.A. Heglar","2019","website","","","","","","","1","0","0","0","1","0","0","0","2023cprize-37"
"The Florence Experiment","Carsten Höller","2018","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"The Force of Things","Jane Bennett","2010","chapter","","","","","Vibrant Matter: A Political Ecology of Things","","1","1","0","0","0","0","0","0","2020cprize-21"
"The Forest as a Future Ecology for Twentieth-Century Retail Landscapes in the Midwest: A Case Study of Columbus, Ohio","P. Meijerink; T. Sims","2018","article","","","","The International Journal of the Constructed Environment","","","1","0","0","1","0","0","0","0","2022cprize-05"
"The Form of the Territory","Vittorio Gregotti","2009","article","","","","OASE","","","1","0","0","0","1","0","0","0","2023cprize-09"
"The Four Elements of Architecture","Gottfried Semper","","chapter","Children's literature, French; Philosophy; Periodicals; Architecture; Architecture, philosophy","","Wiley-Blackwell","","Architectural Theory: Vol. 1","9780521354752","1","0","0","0","1","0","0","0","2023cprize-05"
"The Funambulist #14: Toxic Atmospheres","","2017","other","","","","","","","1","0","0","0","0","1","0","0","2024cprize-42"
"The Function of Ornament","Michael Kubo","2006","book","Building; Curtain walls; Modern Architecture; Architectural Decoration and ornament; Architectural design","""Architecture needs mechanisms that allow it to become connected to culture. It achieves this by continually capturing the forces that shape society as material to work with. Architecture's materiality is therefore a composite one, made up of visible forces (structural, functional, physical) as well as invisible forces (cultural, political, temporal). Architecture progresses through new concepts t","Actar","","","9781940291697","1","0","1","0","0","0","0","0","2021cprize-43"
"The Future","Buckminster Fuller; Jaime Snyder","2009","chapter","","","","","Ideas and Integrities","","1","0","0","1","0","0","0","0","2022cprize-07"
"The Future Is the Termination Shock: On the Antinomies and Psychopathologies of Geoengineering. Part Two","Andreas Malm","2023","article","","","","","","","1","0","0","0","0","0","1","0","2025cprize-01"
"The Future of Urban Water: Scenarios for Urban Water Utilities in 2040","ARUP","2015","report","","","","","","","1","0","0","0","1","0","0","0","2023cprize-36"
"The Future We Choose: Surviving the Climate Crisis","Christina Figueres; Tom Rivett-Carnac","","book","","","Knopf","","","","1","0","1","0","0","0","0","0","2021cprize-44"
"The Future: Six Drivers of Global Change","Al Gore","","book","","","","","","","1","0","1","0","0","0","0","0","2021cprize-50"
"The Gaia Atlas of Cities: New Directions for Sustainable Urban Living","Herbert Girardet","","book","","","","","","","1","0","0","0","1","0","0","0","2023cprize-41"
"The Galápagos: A Natural History","Henry Nichols","","book","","","","","","","1","0","0","0","1","0","0","0","2023cprize-13"
"The Gamification of Learning and Instruction: Case-Based Methods and Strategies for Training and Education","K. M. Kapp","2012","book","","","Pfieffer / John Wiley & Sons","","","","1","0","0","0","0","0","1","0","2025cprize-23"
"The Garden Apartment (in A History of Housing in New York City: Dwelling Type and Social Change in the American Metropolis)","Richard Plunz","1990","chapter","","","Columbia University Press","","","","1","0","1","0","0","0","0","0","2021cprize-15"
"The Garden: Making Place","Campus in Camps","","other","","","","","","","1","1","0","0","0","0","0","0","2020cprize-60"
"The Geography of Bliss","Eric Weiner","","book","Travel; Voyages and travels; Nonfiction; Large type books; Happiness","Part foreign affairs discourse, part humor, and part twisted self-help guide, The Geography of Bliss takes the reader from America to Iceland to India in search of happiness, or, in the crabby author's case, moments of ""un-unhappiness."" The book uses a beguiling mixture of travel, psychology, science and humor to investigate not what happiness is, but where it is. Are people in Switzerland happier","","","","9780446511070","1","0","0","0","0","1","0","0","2024cprize-17"
"The Gifts of the Hurricane: Reimagining Post-María Puerto Rico through Comics","D. Arbino","2021","article","","","","eTropic: electronic journal of studies in the Tropics","","","1","0","0","0","1","0","0","0","2023cprize-34"
"The Girard Trust Self-Acting Coal-Loading System, Big Mine Run, Centralia","","1891","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-54"
"The Giver","Lois Lowry","","book","Social control; Control (Psychology); Juvenile fiction; Fiction; Science fiction","At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.","","","","9780613047920","1","1","0","0","0","0","0","0","2020cprize-33"
"The Grand Domestic Revolution: A History of Feminist Designs for American Homes, Neighborhoods and Cities","Dolores Hayden","","book","","","","","","","1","0","0","0","0","1","0","0","2024cprize-01"
"The Great Lakes Century – a 100 Year Vision","Skidmore, Owings & Merrill LLP (SOM)","2009","report","","","","","","","1","0","0","1","0","0","0","0","2022cprize-05"
"The Great Transformation","K. Polanyi","1944","book","","","Farrar & Rinehart","","","","1","0","0","0","1","0","0","0","2023cprize-31"
"The Greatest Grid, 1811-Now","Museum of the City of New York","","website","","","","","","","1","0","1","0","0","0","0","0","2021cprize-60"
"The Greeks: The Land and People since the War","James Pettifer","1993","book","","","Viking","","","","1","0","1","0","0","0","0","0","2021cprize-03"
"The Green Book: The Black Travelers' Guide to Jim Crow America","E. Andrews","2019","website","","","History.com","","","","1","0","0","1","0","0","0","0","2022cprize-23"
"The Green Economy Has a Resource-Scarcity Problem: Sustainable Business Practices","D. Young; R. Hutchinson; M. Reeves","2021","article","","","","Harvard Business Review","","","1","0","0","0","0","0","1","0","2025cprize-15"
"The Green New Deal (H.Res. 109)","","","report","","","","","","","1","1","0","0","0","0","0","0","2020cprize-09"
"The Green New Deal, Landscape, and Public Imagination","Nicholas Pevzner","","article","","","","","","","1","0","1","0","0","0","0","0","2021cprize-02"
"The Green Roof Manual: A Professional Guide to Design, Installation, and Maintenance","E. C. Snodgrass; L. McIntyre","2010","book","","","Timber Press","","","","1","0","1","0","0","0","0","0","2021cprize-23"
"The Greening of America's Building Codes: Promises and Paradoxes","","2022","book","","","Princeton Architectural Press","","","","1","0","0","0","1","0","0","0","2023cprize-13"
"The Greening of Mars","James Lovelock; Michael Allaby","1984","book","","","St. Martin's/Marek","","","","1","0","1","0","0","0","0","0","2021cprize-47"
"The Grid, The /Cloud/ and The Detail","Rosalind Krauss","","article","","","","","","","1","0","0","1","0","0","0","0","2022cprize-15"
"The Grotesque and the Monstrous (in The Monster in the Garden)","Luke Morgan","","chapter","","","University of Pennsylvania Press","","","","1","0","0","0","1","0","0","0","2023cprize-17"
"The Grow Home","Avi Friedman","2006","book","Habitations; Construction; Modular coordination (Architecture); Domestic Architecture; House construction","""In this illustrated guide, internationally acclaimed architect Avi Friedman describes the conception and construction of the Grow Home, Two-storeys high, 14 feet wide by 36 feet long, and 1000 square feet in area, Friedman's Grow Home gives people what they need at an affordable price - a quality product that allows both the perimeter and interior of a house to be expanded and changed to fit the","McGill-Queen's University Press","","","9780773521681","1","1","0","0","0","0","0","0","2020cprize-50"
"The Growing Pavilion","","2019","other","","","","","","","1","0","0","0","1","0","0","0","2023cprize-24"
"The Guide to the Architecture of Georgia","","1993","book","","","The University of South Carolina Press","","","","1","1","0","0","0","0","0","0","2020cprize-07"
"The Guise of Architecture","Marcelyn Gow; Florencia Pita","2017","article","","","","Offramp","","","1","1","0","0","0","0","0","0","2020cprize-46"
"The Hawaii Coastal Hazard Mitigation Guidebook","D. J. Hwang","2005","chapter","","","","","Solutions to Coastal Disasters 2005","","1","0","0","0","0","0","0","1","2026cprize-27"
"The Heartland: An American History","Kristin Hoganson","2019","book","","","","","","","1","1","0","0","0","0","0","0","2020cprize-42"
"The Hidden Dimension","Edward T. Hall","","book","Proxemics; Proximity; Phonemics; Sociology; Physiological","Line drawings and photographs help the author explain the effects of overcrowding and what it can do to people in large groups and as individuals.","","","","9780385084765","1","0","1","0","0","0","0","0","2021cprize-12"
"The hidden planners? Academic knowledge production and urban planning","Samuel Mossner; Catarina Gomes de Matos","2015","other","","","","International Conference on The Ideal City","","","1","1","0","0","0","0","0","0","2020cprize-58"
"The Highway and the City","Lewis Mumford","1963","book","Cities and towns; City planning; History; Cities and towns, united states; City planning, europe","","Harcourt, Brace & World","","","9780313227479","1","0","0","0","0","1","0","0","2024cprize-39"
"The History of Ice: How Glaciers Became an Endangered Species","Mark Carey","2007","article","","","","Environmental History 12","","","1","0","0","0","0","0","0","1","2026cprize-48"
"The History of Race in the Anthracite Coal Region","Paul Shackel","2020","chapter","","","Berghahn Books","","","","1","0","1","0","0","0","0","0","2021cprize-54"
"The Human","Ray Brassier","2021","other","","","","","","","1","0","0","0","1","0","0","0","2023cprize-03"
"The Human Condition","Hannah Arendt","1958","book","Sociology; Technology; Economics; Humanisme; Sociologie","A work of striking originality bursting with unexpected insights, The Human condition is in many respects more relevant now than when it first appeared in 1958. In her study of the state of modern humanity, Hannah Arendt considers humankind from the perspective of the actions of which it is capable. The problems Arendt identified then--diminishing human agency and political freedom, the paradox th","","","","9783492005173","1","1","0","0","0","0","0","0","2020cprize-55"
"The Human Cost of Disasters: An Overview of the Last 20 Years (2000-2019)","United Nations Office for Disaster Risk Reduction","2020","report","","","","","","","1","0","1","0","0","0","0","0","2021cprize-04"
"The human right to water: Critiques and condition of possibility","F. Sultana; A. Loftus","2015","article","","","","Wiley Interdisciplinary Reviews: Water","","","1","0","0","0","0","0","1","0","2025cprize-15"
"The Human Scale","Jan Gehl","2013","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-27"
"The Human Shore: Seacoasts in History","John R. Gillis","2012","book","","","University of Chicago Press","","","","1","0","1","0","0","0","0","0","2021cprize-39"
"The Hundred-Page Machine Learning Book","Andriy Burkov","","book","Science; Computer science; Artificial intelligence; Machine learning","","","","","9781999579517","1","0","1","0","0","0","0","0","2021cprize-58"
"The Illusion of Isolation: The Gullah/Geechees and the Political Economy of African Culture in the Americas","J. Lorand Matory","2008","article","","","","Comparative Studies in Society and History","","","1","0","0","1","0","0","0","0","2022cprize-06"
"The Image of The Environment","Kevin Lynch","1960","chapter","","","MIT Press","","The Image of The City","","1","0","0","1","0","0","0","0","2022cprize-11"
"The Image of the Oil Territory","Rania Ghosn","","chapter","","","","","Elements for a World: STONE","","1","1","0","0","0","0","0","0","2020cprize-29"
"The Impact of Climate Change on Virginia's Coastal Areas","Jonathan L. Goodall; Antonio Elias; Elizabeth Andrews; Christopher Kit Chope; John Cosgrove; Jason El Koubi; Jennifer Irish; Lewis L. Lawrence III; Robert W. Lazaro Jr.; William H. Leighty; Mark W. Luckenbach; Elise Miller-Hooks; Ann C. Phillips; Henry V Pollard; Emily Steinhilber; Charles Feigenoff; Jennifer Sayegh","2021","report","","","","","","","1","0","0","0","1","0","0","0","2023cprize-20"
"The Impact of Corporate Tourism on Gullah Blacks: Notes on Issues of Employment","J. Manning Thomas","1980","article","","","","Phylon","","","1","0","0","1","0","0","0","0","2022cprize-06"
"The Impact of Dollar Stores and How Communities Can Fight Back","Marie Donahue","2018","report","","","Institute for Local Self-Reliance","","","","1","0","0","1","0","0","0","0","2022cprize-03"
"The impact of tourism on coastal areas","E. Gormsen","1997","article","","","","GeoJournal","","","1","0","0","1","0","0","0","0","2022cprize-06"
"The Impact Thinking Framework: A Process for Advancing Research-to-Practice Initiatives in Neuroaesthetics","Susan Magsamen; Theresa L. Golden; Caroline A. Towriss; Jessica Allen","2023","article","","","","Frontiers in Psychology","","","1","0","0","0","0","0","0","1","2026cprize-43"
"The Imperative of Responsibility","Hans Jonas","","book","","","","","","","1","0","1","0","0","0","0","0","2021cprize-12"
"The Imperial Organism at Work","Cara New Daggett","2019","chapter","","","Duke University Press","","The Birth of Energy: Fossil Fuels, Thermodynamics, and the Politics of Work","","1","0","0","0","0","0","1","0","2025cprize-35"
"The Imperial Synthesis","Gregory A. Barton","2009","article","","","","British Scholar","","","1","0","1","0","0","0","0","0","2021cprize-47"
"The Improvisation of Space","Christopher Dell","2019","book","","","Jovis Verlag","","","","1","0","0","0","0","0","0","1","2026cprize-09"
"The Indelible Traces of Her Footsteps","Mireille Roddier","2020","chapter","","","Bloomsbury Architecture Series","","Writing Architectures: Ficto-Critical Approaches","","1","0","0","0","0","1","0","0","2024cprize-28"
"The indoor microbiome and human health","J. A. Gilbert; E. M. Hartmann","2024","article","","","","Nature Reviews Microbiology","","","1","0","0","0","0","0","0","1","2026cprize-62"
"The Industrious City: Urban industry in the Digital age","Hiromi Hosoya; Markus Schaefer","2021","book","","","Lars Müller Publishers","","","","1","0","0","0","0","0","1","0","2025cprize-26"
"The Inevitable","Kevin Kelly","2016","book","Forecasting; Technological innovations; Technology, social aspects; Economic forecasting; nyt:business-books=2016-07-10","An expert tech writer discusses the forces and trends that will revolutionize daily life through the upcoming technological advances of the next thirty years.","Penguin Books","","","9780525428084","1","0","0","1","0","0","0","0","2022cprize-09"
"The influence of scarcity perception on people's pro-environmental behavior and their readiness to accept new sustainable technologies","A. Berthold; V. Cologna; M. Siegrist","2022","article","","","","Ecological Economics","","","1","0","0","0","0","0","1","0","2025cprize-15"
"The Instagram Capital of the World Is a Terrible Place to Be","Rebecca Jennings","2022","article","","","","Vox","","","1","0","0","0","1","0","0","0","2023cprize-15"
"The International Style","Henry-Russell Hitchcock; Philip Johnson","1966","book","Architecture; Designs and plans; International style (Architecture); Modern Architecture; Internationaler Stil","First published in 1962 under the title: The international style: architecture since 1922, "" The international style twenty years after"" by H. R. Hitchcock, an article written for the Architectural record of August 1951: p. 237-255.","W.W. Norton","","","9780393003116","1","0","0","1","0","0","0","0","2022cprize-20"
"The Interpretation of Ordinary Landscapes: Geographical Essays","Donald W. Meinig","1979","book","","","","","","","1","0","0","1","0","0","0","0","2022cprize-03"
"The Interruption of Myth: Walter Benjamin's Concept of Critique","Thijs Lijster","2012","chapter","","","Palgrave-McMillan","","Conceptions of Critique in Modern and Contemporary Philosophy","","1","0","1","0","0","0","0","0","2021cprize-03"
"The Invention of Rivers: Alexander's Eye and Ganga's Descent","Da Cunha, Dilip","2019","book","","","University of Pennsylvania Press","","","","1","0","0","0","0","0","0","1","2026cprize-55"
"The Islamic City: Historic Myth, Islamic Essence and Contemporary Relevance","Janet Abu-Lughod","1987","article","","","","International Journal of Middle East Studies","","","1","1","0","0","0","0","0","0","2020cprize-17"
"The Japanese Cool Biz Campaign: Increasing Comfort in the Workplace","EESI","2015","report","","","","","","","1","0","1","0","0","0","0","0","2021cprize-33"
"The Jivaro: People of the sacred waterfalls","M.J. Harner","1984","book","","","University of California Press","","","","1","0","0","0","0","1","0","0","2024cprize-03"
"The Kelayres Massacre: Politics and Murder in Pennsylvania's Anthracite Coal Country","Stephanie Hoover","2014","book","","","The History Press","","","","1","0","1","0","0","0","0","0","2021cprize-54"
"THE LAFITTE MEANDER: Multi-function Pre-cast Paving System modulating the water and pedestrian path","G. Rashleigh","","other","","","","TuSA Resilience Reinforced Research Studio, fall 2019","","","1","0","0","1","0","0","0","0","2022cprize-11"
"The Land Connection","","","website","","","","","","","1","0","0","0","0","1","0","0","2024cprize-11"
"The Land We Share: Private Property And The Common Good","Eric T. Freyfogle","2003","book","","","","","","","1","1","0","0","0","0","0","0","2020cprize-32"
"The Landscape of Agricultural Improvement (in The Idea of Landscape and the Sense of Place 1730-1840)","John Barrell","1972","chapter","","","Cambridge University Press","","","","1","0","0","0","1","0","0","0","2023cprize-17"
"The Landscape of Contemporary Infrastructure","K. Shannon; M. Smets","2010","book","","","","","","","1","1","0","0","0","0","0","0","2020cprize-16"
"The landscape of disaster resilience indicators in the USA","Susan Cutter","2016","article","","","","Natural Hazards","","","1","1","0","0","0","0","0","0","2020cprize-36"
"The Landscape Urbanism Reader","Charles Waldheim","2006","book","Urban landscape architecture; Landscape architecture; Architecture; Urban & Land Use Planning; Landscape","","Princeton Architectural Press","","","9781568984391","1","1","0","0","0","0","0","0","2020cprize-16"
"The Landscapists: Redefining Landscape Relations","Ed Wall","","article","","","","AD (Architectural Design)","","","1","0","1","0","0","0","0","0","2021cprize-07"
"The Last Beach","O. H. Pilkey; J. Cooper","2014","book","","","Duke University Press","","","","1","1","0","0","0","0","0","0","2020cprize-06"
"The Last Black Man in San Francisco","Joe Talbot","2019","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-39"
"The Last Orb: On a Philosophical History of Terrestrial Globalization","Peter Sloterdijk","2014","chapter","","","","","Spheres Volume 2: Macrospherology","","1","1","0","0","0","0","0","0","2020cprize-21"
"The Launderette","Tim Mara","1978","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"The Licit Life of Capitalism: US Oil in Equatorial Guinea","Hannah Appel","2019","book","","","Duke University Press","","","","1","0","0","1","0","0","0","0","2022cprize-02"
"The Life of Lines","Tim Ingold","2015","book","","","Routledge","","","","1","0","0","0","0","0","0","1","2026cprize-59"
"The Life of Plants: A Metaphysics of Mixture","Emanuele Coccia","","book","Plants; Philosophy of nature; Ontology","","","","","9781509531530","1","0","0","0","0","0","0","1","2026cprize-56"
"The Light Eaters: How the Unseen World of Plant Intelligence Offers a New Understanding of Life on Earth","Schlanger, Zoë","2024","book","","","Atria Books","","","","1","0","0","0","0","0","0","1","2026cprize-58"
"The Limits to Growth: The 30-Year Update","Donella Meadows; et al.","1972","book","","","Universe Books","","","","1","1","0","0","0","0","0","0","2020cprize-05"
"The Lived Experience of Urban Poverty and Climate Change: Impacts and Adaptation in Slums","M. Roy; D. Hulme; M. Hordijk; S. Cawood","2016","chapter","","","Routledge","","Urban Poverty and Climate Change: Life in the Slums of Asia, Africa and Latin America","","1","0","1","0","0","0","0","0","2021cprize-63"
"The Living Billboard","Rios","2012","website","","","","","","","1","0","1","0","0","0","0","0","2021cprize-09"
"The Living Building Challenge: Roots and Rise of the World's Greenest Standard","J. McLennan; B. Berkebile","2019","report","","","International Living Futures Institute","","","","1","0","0","0","1","0","0","0","2023cprize-37"
"The Living City","Frank Lloyd Wright","1970","book","Architecture; City planning; Social problems","","Plume","","","9780818000348","1","0","1","0","0","0","0","0","2021cprize-45"
"The Living Thought (in How Forests Think: Toward an Anthropology Beyond the Human)","Eduardo Kohn","2013","chapter","","","University of California Press","","","","1","0","1","0","0","0","0","0","2021cprize-18"
"The Location of Culture","Homi K. Bhabha","2004","book","Colonies in literature; Culture conflict in literature; Developing countries; History and criticism; Imperialism in literature","Rethinking questions of identity, social agency and national affiliation, Bhabha provides a working, if controversial, theory of cultural hybridity - one that goes far beyond previous attempts by others. In The Location of Culture, he uses concepts such as mimicry, interstice, hybridity, and liminality to argue that cultural production is always most productive where it is most ambivalent. Speakin","Routledge","","","9780415016353","1","0","0","0","0","1","0","0","2024cprize-42"
"The Logic of the Managerial Surface","J. May","2011","article","","","","Praxis","","","1","1","0","0","0","0","0","0","2020cprize-40"
"The Lost Steps","Alejo Carpentier","2001","book","","","University of Minnesota Press","","","","1","1","0","0","0","0","0","0","2020cprize-61"
"The Lunatics","Kim Stanley Robinson","2011","chapter","","","Night Shade Books","","","","1","0","1","0","0","0","0","0","2021cprize-54"
"The Lungs Of The City: Frederick Law Olmsted, Public Health, And The Creation Of Central Park","Lucie Levine","2020","article","","","","","","","1","0","1","0","0","0","0","0","2021cprize-27"
"The Machine (in The Machine in the Garden: Technology and the Pastoral Ideal in America)","Leo Marx","1964","chapter","","","Oxford University Press","","","","1","0","0","0","1","0","0","0","2023cprize-17"
"The Machine in the Garden: Technology and the Pastoral Ideal in America","Leo Marx","2000","book","","","Oxford University Press","","","","1","0","0","0","0","0","1","0","2025cprize-26"
"The Magic of Imagination: The Art Glass of Stanislav Libenský and Jaroslava Brychtová in Architecture","Oldřich Palata","2013","book","","","Zaplatílek","","","","1","0","0","0","0","0","0","1","2026cprize-03"
